sim_id,path_type,depth_input_mm,total_time,status,param_radius,param_num_passes,timestamp,max_depth_mm,avg_depth_mm,depth_std_mm,min_z_coord,max_z_coord,max_stress_MPa,avg_stress_MPa,stress_std_MPa,max_strain,avg_strain,strain_std,formed_diameter_x_mm,formed_diameter_y_mm,formed_area_mm2,num_nodes,num_stress_values,num_strain_values,param_amplitude,param_k_petals,param_num_rotations,param_max_radius,param_major_axis,param_minor_axis,param_side_length,param_width,param_height,param_num_lines,param_outer_radius,param_inner_radius,param_num_points_star,param_num_cycles,param_min_radius,param_num_circles,param_freq_x,param_freq_y,param_num_periods
27,spiral_inward,2.5,75,SUCCESS,,,2026-02-13T03:01:02.484865,0.343,0,0.256,-0.343,1.6,276.4,7.73,21.2,0.5774,0.030449,0.128625,130,130,16900,2601,74789,29324,,,5,15,,,,,,,,,,,,,,,
28,spiral,6.5,75,SUCCESS,,,2026-02-13T03:02:18.766932,3.021,0,0.566,-3.021,1.6,316.2,13.58,30.79,0.5774,0.029842,0.126529,130,130,16900,2601,80369,30380,,,2,9,,,,,,,,,,,,,,,
29,star,6,50,FAILED,,,2026-02-13T03:04:53.689495,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5,4,,,,,,
30,spiral_inward,3,50,SUCCESS,,,2026-02-13T03:09:23.465250,0.659,0,0.272,-0.659,1.6,273.3,9.3,23.94,0.5774,0.029119,0.125999,130,130,16900,2601,78203,30685,,,5,13,,,,,,,,,,,,,,,
31,spiral_inward,5.5,65,SUCCESS,,,2026-02-13T03:13:19.888221,2.25,0,0.425,-2.25,1.6,310.5,14.84,33.01,0.5774,0.028868,0.125159,130,130,16900,2601,84505,31062,,,5,11,,,,,,,,,,,,,,,
32,rose,7,75,SUCCESS,,,2026-02-13T03:15:23.803862,3.41,0,0.559,-3.41,1.6,305.9,14.86,32.63,0.5774,0.029349,0.125746,130,130,16900,2601,82673,30761,8,4,1,,,,,,,,,,,,,,,,
33,ellipse,4,70,FAILED,,,2026-02-13T03:18:46.795833,,,,,,,,,,,,,,,,,,,,2,,10,5,,,,,,,,,,,,,
34,square,3,70,FAILED,,2,2026-02-13T03:31:32.912523,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,
35,spiral,2.5,75,SUCCESS,,,2026-02-13T03:35:30.415070,0.786,0,0.324,-0.786,1.6,272,8.64,22.95,0.5774,0.030731,0.129054,130,130,16900,2601,70839,29114,,,5,10,,,,,,,,,,,,,,,
36,zigzag,4.5,60,SUCCESS,,,2026-02-13T03:37:34.940223,1.757,0,0.432,-1.757,1.6,282.8,12.6,29.21,0.5774,0.029881,0.127106,130,130,16900,2601,76796,30065,,,,,,,,18,14,5,,,,,,,,,
37,lissajous,4,75,TIMEOUT,,,2026-02-13T03:53:01.594370,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,4,4,3
38,rose,8,75,SUCCESS,,,2026-02-13T03:59:22.252246,1.492,0,0.379,-1.492,1.6,302.8,10.21,24.82,1.078,0.029978,0.127524,130,130,16900,2601,80452,30118,8,6,3,,,,,,,,,,,,,,,,
39,concentric,4,60,FAILED,,,2026-02-13T04:01:25.008290,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,2,7,,,
40,figure8,1.5,55,SUCCESS,,,2026-02-13T04:05:55.204013,0.012,0,0.194,-0.012,1.6,263.8,5.53,16.92,0.5774,0.031202,0.130245,130,130,16900,2601,67591,28708,12,,,,,,,,,,,,,4,,,,,
41,lissajous,7,65,UPLOAD_FAILED,,,2026-02-13T04:06:19.616573,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,1,2,4
42,spiral_inward,2,65,SUCCESS,,,2026-02-13T04:08:32.746917,0.054,0,0.214,-0.054,1.6,260.6,7.09,19.96,0.5774,0.030719,0.129346,130,130,16900,2601,73995,29334,,,3,9,,,,,,,,,,,,,,,
43,circular,4,60,SUCCESS,4,,2026-02-13T04:10:37.368265,1.378,0,0.353,-1.378,1.6,271.1,10.38,25.52,0.5774,0.02941,0.126408,130,130,16900,2601,78875,30415,,,3,,,,,,,,,,,,,,,,
44,circular,8,60,SUCCESS,8,,2026-02-13T04:12:41.325048,3.953,0,0.68,-3.953,1.6,328.1,15.57,33.61,0.5774,0.030052,0.126364,130,130,16900,2601,81938,30730,,,3,,,,,,,,,,,,,,,,
45,concentric,5.5,50,FAILED,,,2026-02-13T04:25:42.806140,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,4,6,,,
46,rose,7.5,45,SUCCESS,,,2026-02-13T04:26:59.651256,3.517,0,0.575,-3.517,1.6,322.3,16.52,35.34,0.5774,0.0291,0.125239,130,130,16900,2601,84611,31040,6,6,2,,,,,,,,,,,,,,,,
47,zigzag,5,75,UPLOAD_FAILED,,,2026-02-13T04:27:24.080471,,,,,,,,,,,,,,,,,,,,,,,,,14,14,3,,,,,,,,,
48,ellipse,1.5,55,SUCCESS,,,2026-02-13T04:31:13.502891,0.079,0,0.223,0.079,1.6,263.4,6.8,19.92,0.5774,0.031653,0.131181,130,130,16900,2601,66695,28874,,,2,,8,5.3,,,,,,,,,,,,,
49,ellipse,6.5,75,FAILED,,,2026-02-13T04:33:48.329032,,,,,,,,,,,,,,,,,,,,3,,14,12,,,,,,,,,,,,,
50,spiral_inward,6.5,50,UPLOAD_FAILED,,,2026-02-13T04:34:14.004207,,,,,,,,,,,,,,,,,,,,4,14,,,,,,,,,,,,,,,
51,hexagon,1.5,55,SUCCESS,6,2,2026-02-13T04:36:43.640257,0.148,0,0.209,0.148,1.6,258.4,6.28,18.67,0.5774,0.031806,0.131509,130,130,16900,2601,66300,28722,,,,,,,,,,,,,,,,,,,
52,circular,1.5,40,SUCCESS,11,,2026-02-13T04:38:32.250512,0.052,0,0.244,-0.052,1.6,261.3,7.18,20.79,0.5774,0.031473,0.13075,130,130,16900,2601,66470,28633,,,4,,,,,,,,,,,,,,,,
53,ellipse,7.5,55,FAILED,,,2026-02-13T04:43:47.465650,,,,,,,,,,,,,,,,,,,,1,,12,7,,,,,,,,,,,,,
54,figure8,1.5,70,SUCCESS,,,2026-02-13T04:45:20.858234,0.125,0,0.149,0.125,1.6,201,3.34,10.98,0.5774,0.03189,0.131708,130,130,16900,2601,65113,28087,6,,,,,,,,,,,,,2,,,,,
55,lissajous,6.5,75,FAILED,,,2026-02-13T04:51:40.762398,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,2,4,3
56,zigzag,2.5,50,UPLOAD_FAILED,,,2026-02-13T04:52:06.572214,,,,,,,,,,,,,,,,,,,,,,,,,18,22,5,,,,,,,,,
57,zigzag,5.5,75,SUCCESS,,,2026-02-13T04:54:51.719040,2.539,0,0.511,-2.539,1.6,291.8,14.14,31.46,0.5774,0.030177,0.127293,130,130,16900,2601,76830,30024,,,,,,,,18,18,5,,,,,,,,,
58,spiral,1,75,SUCCESS,,,2026-02-13T04:57:12.171575,0.342,0,0.161,0.342,1.6,216.9,4.13,13.64,0.5774,0.032247,0.132407,130,130,16900,2601,62396,28455,,,4,8,,,,,,,,,,,,,,,
59,spiral,4,70,SUCCESS,,,2026-02-13T04:59:48.337343,1.508,0,0.419,-1.508,1.6,297.2,10.91,26.51,0.5774,0.030008,0.127325,130,130,16900,2601,75896,29955,,,5,9,,,,,,,,,,,,,,,
60,spiral_inward,6.5,55,SUCCESS,,,2026-02-13T05:01:05.238538,2.88,0,0.502,-2.88,1.6,313.6,17.79,37.4,0.5774,0.028799,0.124852,130,130,16900,2601,87960,31223,,,2,8,,,,,,,,,,,,,,,
61,concentric,1.5,65,SUCCESS,,,2026-02-13T05:03:09.723581,0.108,0,0.249,-0.108,1.6,267.8,6.33,18.36,0.5774,0.031529,0.130816,130,130,16900,2601,66210,28416,,,,13,,,,,,,,,,,3,5,,,
62,spiral_inward,1.5,65,SUCCESS,,,2026-02-13T05:06:50.714991,0.267,0,0.191,0.267,1.6,261.2,5.87,17.97,0.5774,0.031579,0.131047,130,130,16900,2601,68428,28588,,,3,13,,,,,,,,,,,,,,,
