sim_id,path_type,depth_input_mm,total_time,status,param_radius,param_num_passes,timestamp,max_depth_mm,avg_depth_mm,depth_std_mm,min_z_coord,max_z_coord,max_stress_MPa,avg_stress_MPa,stress_std_MPa,max_strain,avg_strain,strain_std,formed_diameter_x_mm,formed_diameter_y_mm,formed_area_mm2,num_nodes,num_stress_values,num_strain_values,param_amplitude,param_k_petals,param_num_rotations,param_max_radius,param_major_axis,param_minor_axis,param_side_length,param_width,param_height,param_num_lines,param_outer_radius,param_inner_radius,param_num_points_star,param_num_cycles,param_min_radius,param_num_circles,param_freq_x,param_freq_y,param_num_periods
23,square,6.0,70.0,SUCCESS,,2.0,2026-02-13T02:46:37.636182,1.6,1.09,0.715,0.0,1.6,308.0,13.25,30.08,0.5774,0.030587,0.12789,65.0,65.0,4225.0,1864.0,75990.0,29764.0,,,,,,,18.0,,,,,,,,,,,,
24,concentric,7.0,75.0,FAILED,,,2026-02-13T02:49:12.548282,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,3.0,6.0,,,
25,figure8,4.0,75.0,FAILED,,,2026-02-13T02:53:08.271219,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,2.0,,,,,
26,circular,4.5,75.0,SUCCESS,8.0,,2026-02-13T02:54:41.746376,1.6,1.098,0.722,0.0,1.6,287.6,9.53,24.07,0.5774,0.029632,0.126803,65.0,65.0,4225.0,1927.0,77652.0,30216.0,,,1.0,,,,,,,,,,,,,,,,
27,spiral_inward,2.5,75.0,SUCCESS,,,2026-02-13T03:01:02.484865,1.6,1.097,0.726,0.0,1.6,276.4,7.73,21.2,0.5774,0.030449,0.128625,65.0,65.0,4225.0,1941.0,74789.0,29324.0,,,5.0,15.0,,,,,,,,,,,,,,,
28,spiral,6.5,75.0,SUCCESS,,,2026-02-13T03:02:18.766932,1.6,1.092,0.714,0.0,1.6,316.2,13.58,30.79,0.5774,0.029842,0.126529,65.0,65.0,4225.0,1863.0,80369.0,30380.0,,,2.0,9.0,,,,,,,,,,,,,,,
29,star,6.0,50.0,FAILED,,,2026-02-13T03:04:53.689495,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,5.0,4.0,,,,,,
30,spiral_inward,3.0,50.0,SUCCESS,,,2026-02-13T03:09:23.465250,1.6,1.1,0.721,0.0,1.6,273.3,9.3,23.94,0.5774,0.029119,0.125999,65.0,65.0,4225.0,1939.0,78203.0,30685.0,,,5.0,13.0,,,,,,,,,,,,,,,
31,spiral_inward,5.5,65.0,SUCCESS,,,2026-02-13T03:13:19.888221,1.6,1.105,0.708,0.0,1.6,310.5,14.84,33.01,0.5774,0.028868,0.125159,65.0,65.0,4225.0,1905.0,84505.0,31062.0,,,5.0,11.0,,,,,,,,,,,,,,,
32,rose,7.0,75.0,SUCCESS,,,2026-02-13T03:15:23.803862,1.6,1.096,0.711,0.0,1.6,305.9,14.86,32.63,0.5774,0.029349,0.125746,65.0,65.0,4225.0,1865.0,82673.0,30761.0,8.0,4.0,1.0,,,,,,,,,,,,,,,,
33,ellipse,4.0,70.0,FAILED,,,2026-02-13T03:18:46.795833,,,,,,,,,,,,,,,,,,,,2.0,,10.0,5.0,,,,,,,,,,,,,
34,square,3.0,70.0,FAILED,,2.0,2026-02-13T03:31:32.912523,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,
35,spiral,2.5,75.0,SUCCESS,,,2026-02-13T03:35:30.415070,1.6,1.096,0.723,0.0,1.6,272.0,8.64,22.95,0.5774,0.030731,0.129054,65.0,65.0,4225.0,1924.0,70839.0,29114.0,,,5.0,10.0,,,,,,,,,,,,,,,
36,zigzag,4.5,60.0,SUCCESS,,,2026-02-13T03:37:34.940223,1.6,1.094,0.714,0.0,1.6,282.8,12.6,29.21,0.5774,0.029881,0.127106,65.0,65.0,4225.0,1910.0,76796.0,30065.0,,,,,,,,18.0,14.0,5.0,,,,,,,,,
37,lissajous,4.0,75.0,TIMEOUT,,,2026-02-13T03:53:01.594370,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,4.0,4.0,3.0
38,rose,8.0,75.0,SUCCESS,,,2026-02-13T03:59:22.252246,1.6,1.096,0.72,0.0,1.6,302.8,10.21,24.82,1.078,0.029978,0.127524,65.0,65.0,4225.0,1911.0,80452.0,30118.0,8.0,6.0,3.0,,,,,,,,,,,,,,,,
39,concentric,4.0,60.0,FAILED,,,2026-02-13T04:01:25.008290,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,2.0,7.0,,,
